# Bone, Cortical (ICRU-44) — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/bone.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.781E+03,3.772E+03
1.03542,3.452E+03,3.444E+03
1.0721,3.150E+03,3.143E+03
1.07210107,3.156E+03,3.149E+03
1.18283,2.434E+03,2.429E+03
1.305,1.873E+03,1.869E+03
1.3050013,1.883E+03,1.878E+03
1.5,1.295E+03,1.291E+03
2,5.869E+02,5.846E+02
2.1455,4.824E+02,4.803E+02
2.14550215,7.114E+02,6.961E+02
2.30297,5.916E+02,5.789E+02
2.472,4.907E+02,4.805E+02
2.47200247,4.962E+02,4.857E+02
3,2.958E+02,2.897E+02
4,1.331E+02,1.303E+02
4.0381,1.296E+02,1.269E+02
4.03810404,3.332E+02,3.006E+02
5,1.917E+02,1.757E+02
6,1.171E+02,1.085E+02
8,5.323E+01,4.987E+01
10,2.851E+01,2.680E+01
15,9.032E+00,8.388E+00
20,4.001E+00,3.601E+00
30,1.331E+00,1.070E+00
40,6.655E-01,4.507E-01
50,4.242E-01,2.336E-01
60,3.148E-01,1.400E-01
80,2.229E-01,6.896E-02
100,1.855E-01,4.585E-02
150,1.480E-01,3.183E-02
200,1.309E-01,3.003E-02
300,1.113E-01,3.032E-02
400,9.908E-02,3.069E-02
500,9.022E-02,3.073E-02
600,8.332E-02,3.052E-02
800,7.308E-02,2.973E-02
1000,6.566E-02,2.875E-02
1250,5.871E-02,2.745E-02
1500,5.346E-02,2.623E-02
2000,4.607E-02,2.421E-02
3000,3.745E-02,2.145E-02
4000,3.257E-02,1.975E-02
5000,2.946E-02,1.864E-02
6000,2.734E-02,1.788E-02
8000,2.467E-02,1.695E-02
10000,2.314E-02,1.644E-02
15000,2.132E-02,1.587E-02
20000,2.068E-02,1.568E-02
