# PMMA (Lucite/Perspex) — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/pmma.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,2.794E+03,2.788E+03
1.5,9.153E+02,9.131E+02
2,4.037E+02,4.024E+02
3,1.236E+02,1.228E+02
4,5.247E+01,5.181E+01
5,2.681E+01,2.627E+01
6,1.545E+01,1.498E+01
8,6.494E+00,6.114E+00
10,3.357E+00,3.026E+00
15,1.101E+00,8.324E-01
20,5.714E-01,3.328E-01
30,3.032E-01,9.645E-02
40,2.350E-01,4.599E-02
50,2.074E-01,3.067E-02
60,1.924E-01,2.530E-02
80,1.751E-01,2.302E-02
100,1.641E-01,2.368E-02
150,1.456E-01,2.657E-02
200,1.328E-01,2.872E-02
300,1.152E-01,3.099E-02
400,1.031E-01,3.185E-02
500,9.410E-02,3.206E-02
600,8.701E-02,3.191E-02
800,7.641E-02,3.116E-02
1000,6.870E-02,3.015E-02
1250,6.143E-02,2.882E-02
1500,5.591E-02,2.755E-02
2000,4.796E-02,2.533E-02
3000,3.844E-02,2.210E-02
4000,3.286E-02,1.995E-02
5000,2.919E-02,1.843E-02
6000,2.659E-02,1.731E-02
8000,2.317E-02,1.579E-02
10000,2.105E-02,1.482E-02
15000,1.820E-02,1.348E-02
20000,1.684E-02,1.282E-02
