# Carbon — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z06.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,2.211E+03,2.209E+03
1.5,7.002E+02,6.990E+02
2,3.026E+02,3.016E+02
3,9.033E+01,8.963E+01
4,3.778E+01,3.723E+01
5,1.912E+01,1.866E+01
6,1.095E+01,1.054E+01
8,4.576E+00,4.242E+00
10,2.373E+00,2.078E+00
15,8.071E-01,5.627E-01
20,4.420E-01,2.238E-01
30,2.562E-01,6.614E-02
40,2.076E-01,3.343E-02
50,1.871E-01,2.397E-02
60,1.753E-01,2.098E-02
80,1.610E-01,2.037E-02
100,1.514E-01,2.147E-02
150,1.347E-01,2.449E-02
200,1.229E-01,2.655E-02
300,1.066E-01,2.870E-02
400,9.546E-02,2.950E-02
500,8.715E-02,2.969E-02
600,8.058E-02,2.956E-02
800,7.076E-02,2.885E-02
1000,6.361E-02,2.792E-02
1250,5.690E-02,2.669E-02
1500,5.179E-02,2.551E-02
2000,4.442E-02,2.345E-02
3000,3.562E-02,2.048E-02
4000,3.047E-02,1.849E-02
5000,2.708E-02,1.710E-02
6000,2.469E-02,1.607E-02
8000,2.154E-02,1.468E-02
10000,1.959E-02,1.380E-02
15000,1.698E-02,1.258E-02
20000,1.575E-02,1.198E-02
