# Nitrogen — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z07.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.311E+03,3.306E+03
1.5,1.083E+03,1.080E+03
2,4.769E+02,4.755E+02
3,1.456E+02,1.447E+02
4,6.166E+01,6.094E+01
5,3.144E+01,3.086E+01
6,1.809E+01,1.759E+01
8,7.562E+00,7.170E+00
10,3.879E+00,3.545E+00
15,1.236E+00,9.715E-01
20,6.178E-01,3.867E-01
30,3.066E-01,1.099E-01
40,2.288E-01,5.051E-02
50,1.980E-01,3.217E-02
60,1.817E-01,2.548E-02
80,1.639E-01,2.211E-02
100,1.529E-01,2.231E-02
150,1.353E-01,2.472E-02
200,1.233E-01,2.665E-02
300,1.068E-01,2.873E-02
400,9.557E-02,2.952E-02
500,8.719E-02,2.969E-02
600,8.063E-02,2.956E-02
800,7.081E-02,2.886E-02
1000,6.364E-02,2.792E-02
1250,5.693E-02,2.669E-02
1500,5.180E-02,2.550E-02
2000,4.450E-02,2.347E-02
3000,3.579E-02,2.057E-02
4000,3.073E-02,1.867E-02
5000,2.742E-02,1.734E-02
6000,2.511E-02,1.639E-02
8000,2.209E-02,1.512E-02
10000,2.024E-02,1.434E-02
15000,1.782E-02,1.332E-02
20000,1.673E-02,1.285E-02
