# Tungsten — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z74.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,3.683E+03,3.671E+03
1.5,1.643E+03,1.632E+03
1.8092,1.108E+03,1.097E+03
1.80920181,1.327E+03,1.311E+03
1.84014,1.911E+03,1.883E+03
1.8716,2.901E+03,2.853E+03
1.87160187,3.170E+03,3.116E+03
2,3.922E+03,3.853E+03
2.281,2.828E+03,2.781E+03
2.28100228,3.279E+03,3.226E+03
2.4235,2.833E+03,2.786E+03
2.5749,2.445E+03,2.407E+03
2.57490257,2.599E+03,2.558E+03
2.69447,2.339E+03,2.301E+03
2.8196,2.104E+03,2.071E+03
2.81960282,2.194E+03,2.160E+03
3,1.902E+03,1.873E+03
4,9.564E+02,9.405E+02
5,5.534E+02,5.423E+02
6,3.514E+02,3.428E+02
8,1.705E+02,1.643E+02
10,9.691E+01,9.204E+01
10.2068,9.201E+01,8.724E+01
10.2068102,2.334E+02,1.966E+02
10.8548,1.983E+02,1.684E+02
11.544,1.689E+02,1.444E+02
11.5440115,2.312E+02,1.889E+02
11.8186,2.268E+02,1.797E+02
12.0998,2.065E+02,1.699E+02
12.0998121,2.382E+02,1.948E+02
15,1.389E+02,1.172E+02
20,6.573E+01,5.697E+01
30,2.273E+01,1.991E+01
40,1.067E+01,9.240E+00
50,5.949E+00,5.050E+00
60,3.713E+00,3.070E+00
69.525,2.552E+00,2.049E+00
69.5250695,1.123E+01,3.212E+00
80,7.810E+00,2.879E+00
100,4.438E+00,2.100E+00
150,1.581E+00,9.378E-01
200,7.844E-01,4.913E-01
300,3.238E-01,1.973E-01
400,1.925E-01,1.100E-01
500,1.378E-01,7.440E-02
600,1.093E-01,5.673E-02
800,8.066E-02,4.028E-02
1000,6.618E-02,3.276E-02
1250,5.577E-02,2.761E-02
1500,5.000E-02,2.484E-02
2000,4.433E-02,2.256E-02
3000,4.075E-02,2.236E-02
4000,4.038E-02,2.363E-02
5000,4.103E-02,2.510E-02
6000,4.210E-02,2.649E-02
8000,4.472E-02,2.886E-02
10000,4.747E-02,3.072E-02
15000,5.384E-02,3.360E-02
20000,5.893E-02,3.475E-02
