# Glass, Lead — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ComTab/glass.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,4.816E+03,4.804E+03
1.15026,3.619E+03,3.607E+03
1.3231,2.704E+03,2.693E+03
1.32310132,2.713E+03,2.702E+03
1.34073,2.639E+03,2.628E+03
1.3586,2.567E+03,2.556E+03
1.35860136,2.571E+03,2.560E+03
1.5,2.088E+03,2.078E+03
1.5265,2.012E+03,2.002E+03
1.52650153,2.014E+03,2.004E+03
1.67543,1.646E+03,1.636E+03
1.8389,1.339E+03,1.330E+03
1.83890184,1.573E+03,1.552E+03
2,1.316E+03,1.298E+03
2.484,8.026E+02,7.897E+02
2.48400248,1.251E+03,1.223E+03
2.53429,1.488E+03,1.451E+03
2.5856,1.641E+03,1.600E+03
2.58560259,2.027E+03,1.973E+03
3,1.596E+03,1.555E+03
3.0664,1.508E+03,1.469E+03
3.06640307,1.726E+03,1.681E+03
3.3013,1.440E+03,1.404E+03
3.5542,1.199E+03,1.170E+03
3.55420355,1.266E+03,1.235E+03
3.69948,1.150E+03,1.122E+03
3.8507,1.045E+03,1.020E+03
3.85070385,1.088E+03,1.062E+03
4,9.945E+02,9.709E+02
4.9664,5.875E+02,5.733E+02
4.96640497,5.924E+02,5.772E+02
5,5.828E+02,5.678E+02
6,3.715E+02,3.612E+02
8,1.808E+02,1.744E+02
10,1.029E+02,9.821E+01
11.8667,6.666E+01,6.288E+01
11.8667119,6.707E+01,6.308E+01
12.4372,6.625E+01,5.580E+01
13.0352,5.288E+01,4.937E+01
13.035213,1.244E+02,9.927E+01
15,8.557E+01,6.991E+01
15.2,8.266E+01,6.766E+01
15.2000152,1.132E+02,8.649E+01
15.5269,1.080E+02,8.279E+01
15.8608,1.025E+02,7.888E+01
15.8608159,1.178E+02,8.998E+01
20,6.568E+01,5.252E+01
30,2.305E+01,1.927E+01
40,1.093E+01,9.198E+00
50,6.134E+00,5.118E+00
60,3.843E+00,3.152E+00
80,1.869E+00,1.458E+00
88.0045,1.483E+00,1.129E+00
88.004588,5.824E+00,1.639E+00
100,4.216E+00,1.498E+00
150,1.550E+00,8.042E-01
200,7.820E-01,4.508E-01
300,3.297E-01,1.934E-01
400,1.984E-01,1.114E-01
500,1.429E-01,7.676E-02
600,1.138E-01,5.918E-02
800,8.421E-02,4.246E-02
1000,6.914E-02,3.468E-02
1250,5.826E-02,2.931E-02
1500,5.208E-02,2.636E-02
2000,4.568E-02,2.373E-02
3000,4.082E-02,2.281E-02
4000,3.938E-02,2.343E-02
5000,3.919E-02,2.439E-02
6000,3.958E-02,2.540E-02
8000,4.108E-02,2.724E-02
10000,4.295E-02,2.878E-02
15000,4.768E-02,3.137E-02
20000,5.165E-02,3.257E-02
