# Hydrogen — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z01.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,7.217E+00,6.820E+00
1.5,2.148E+00,1.752E+00
2,1.059E+00,6.643E-01
3,5.612E-01,1.693E-01
4,4.546E-01,6.549E-02
5,4.193E-01,3.278E-02
6,4.042E-01,1.996E-02
8,3.914E-01,1.160E-02
10,3.854E-01,9.849E-03
15,3.764E-01,1.102E-02
20,3.695E-01,1.355E-02
30,3.570E-01,1.863E-02
40,3.458E-01,2.315E-02
50,3.355E-01,2.709E-02
60,3.260E-01,3.053E-02
80,3.091E-01,3.620E-02
100,2.944E-01,4.063E-02
150,2.651E-01,4.813E-02
200,2.429E-01,5.254E-02
300,2.112E-01,5.695E-02
400,1.893E-01,5.860E-02
500,1.729E-01,5.900E-02
600,1.599E-01,5.875E-02
800,1.405E-01,5.739E-02
1000,1.263E-01,5.556E-02
1250,1.129E-01,5.311E-02
1500,1.027E-01,5.075E-02
2000,8.769E-02,4.650E-02
3000,6.921E-02,3.992E-02
4000,5.806E-02,3.523E-02
5000,5.049E-02,3.174E-02
6000,4.498E-02,2.905E-02
8000,3.746E-02,2.515E-02
10000,3.254E-02,2.247E-02
15000,2.539E-02,1.837E-02
20000,2.153E-02,1.606E-02
