# Copper — NIST XAAMDI (Hubbell & Seltzer), source: https://physics.nist.gov/PhysRefData/XrayMassCoef/ElemTab/z29.html
# energy_keV,mu_rho_cm2_g,muen_rho_cm2_g
1,1.057E+04,1.049E+04
1.04695,9.307E+03,9.241E+03
1.0961,8.242E+03,8.186E+03
1.0961011,9.347E+03,9.282E+03
1.5,4.418E+03,4.393E+03
2,2.154E+03,2.142E+03
3,7.488E+02,7.430E+02
4,3.473E+02,3.432E+02
5,1.899E+02,1.866E+02
6,1.156E+02,1.128E+02
8,5.255E+01,5.054E+01
8.9789,3.829E+01,3.652E+01
8.97890898,2.784E+02,1.824E+02
10,2.159E+02,1.484E+02
15,7.405E+01,5.788E+01
20,3.379E+01,2.788E+01
30,1.092E+01,9.349E+00
40,4.862E+00,4.163E+00
50,2.613E+00,2.192E+00
60,1.593E+00,1.290E+00
80,7.630E-01,5.581E-01
100,4.584E-01,2.949E-01
150,2.217E-01,1.027E-01
200,1.559E-01,5.781E-02
300,1.119E-01,3.617E-02
400,9.413E-02,3.121E-02
500,8.362E-02,2.933E-02
600,7.625E-02,2.826E-02
800,6.605E-02,2.681E-02
1000,5.901E-02,2.562E-02
1250,5.261E-02,2.428E-02
1500,4.803E-02,2.316E-02
2000,4.205E-02,2.160E-02
3000,3.599E-02,2.023E-02
4000,3.318E-02,1.989E-02
5000,3.177E-02,1.998E-02
6000,3.108E-02,2.027E-02
8000,3.074E-02,2.100E-02
10000,3.103E-02,2.174E-02
15000,3.247E-02,2.309E-02
20000,3.408E-02,2.387E-02
